"id","name","taal","abartan","tableWidth"
"00422","এই সকাল বেলার বাদল-আঁধারে","দাদরা","১",21
"00423","পুব-সাগরের পার হতে কোন্ এল পরবাসী","কাহারবা","১",24
"00424","আজি বর্ষারাতের শেষে","কাহারবা","১",26
"00425","শ্রাবণমেঘের আধেক দুয়ার ওই খোলা,","দাদরা","২",17
"00427","বাদল-বাউল বাজায় রে একতারা","কাহারবা","২",24
"00428","এ কী গভীর বাণী এল ঘন মেঘের আড়াল ধরে","দাদরা","১",17
"00429","হৃদয় আমার যায় যে ভেসে","দাদরা","২",23
"00430","ভোর হল যেই শ্রাবণশ‌র্বরী","কাহারবা","১",21
"00431","বৃষ্টিশেষের হাওয়া কিসের খোঁজে বইছে ধীরে ধীরে","দাদরা","১",17
"00432","বাদল-ধারা হল সারা, বাজে বিদায় -সুর","দাদরা","১",17
"00433","আকাশতলে দলে দলে মেঘ যে ডেকে যায়","দাদরা","১",17
"00434","কদম্বেরই কানন ঘেরি আষাঢ়মেঘের ছায়া খেলে,","দাদরা","১",17
"00436","ছায়া ঘনাইছে বনে বনে,গগনে গগনে ডাকে দেয়া","কাহারবা","১",24
"00437","এই শ্রাবণ-বেলা বাদল-ঝরা যুথীবনের গন্ধে ভরা","দাদরা","১",17
"00438","ভেবেছিলেম আসবে ফিরে","দাদরা","২",20
"00439","পথিক মেঘের দল জোটে","দাদরা","২",17
"00440","পুব-হাওয়াতে দেয় দোলা আজ মরি মরি","কাহারবা","১",24
"00441","কুসুমে কুসুমে চরণচিহ্ন দিয়ে যাও","দাদরা","১",17
"00442","আকাশভরা সূর্য-তারা, বিশ্বভরা প্রাণ","দাদরা","১",17
"00443","মধ্যদিনের বিজন বাতায়নে","ষষ্ঠী(২/৪)","২",17
"00444","শ্রাবণবরিষন পার হয়ে কী বাণী আসে ওই রয়ে রয়ে","কাহারবা","১",21
"00445","আজ কিছুতেই যায় না মনের ভার","কাহারবা","১",24
"00446","ধরণী গগনের মিলনের ছন্দে","তালমুক্ত","১",28
"00447","নাই রস নাই, দারুণ দাহনবেলা","কাহারবা","২",22
"00450","যেতে দাও যেতে দাও","কাহারবা","২",26
"00451","আজি ওই আকাশ-পরে সুধায়","দাদরা","২",23
"00453","শ্যামল ছায়া, নাইবা গেলে","ষষ্ঠী(২/৪)","২",17
"00454","বজ্রমানিক দিয়ে গাঁথা, আষাঢ়","দাদরা","২",21
"00455","ঝরে ঝরো ঝরো ভাদরবাদর","কাহারবা","২",21
"00456","এসো নীপবনে ছায়াবীথিতলে","তালমুক্ত","১",25
"00457","কোথা যে উধাও হলো মোর প্রাণ উদাসী","আড়াঠেকা","১",21
"00458","আজ শ্রাবণের পূর্ণিমাতে কী","দাদরা","২",17
"00459","অশ্রুভরা বেদনা দিকে দিকে জাগে","তিনতালা","১",24
"00460","বন্ধু, রহো রহো সাথে","তালমুক্ত","১",18
"00461","একলা বসে বাদল-শেষে","দাদরা","২",23
"00462","শ্যামল শোভন শ্রাবণ","দাদরা","২",17
"00463","এসো হে বৈশাখ এসো এসো","কাহারবা","১",21
"00464","মধ্যদিনে যবে গান বন্ধ করে পাখি","কাহারবা","১",21
